rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
362,芬太尼,2216.16,-0.56,2.28,3.4,-112000000.00000001,8,万孚生物,1.07,19.75,2026-01-04,00:29:05
363,汽车芯片,1167.85,-0.56,353.99,418.46,-6447000000.0,137,烽火通信,10.01,32.08,2026-01-04,00:29:05
364,汽车热管理,2293.44,-0.57,293.21,341.2,-4798000000.0,132,星德胜,10.01,37.36,2026-01-04,00:29:05
365,煤炭概念,2135.99,-0.57,60.22,81.66,-2143000000.0,85,云维股份,3.72,4.18,2026-01-04,00:29:05
366,海峡两岸,1859.6,-0.58,621.68,758.83,-13715000000.0,290,乾照光电,15.75,27.56,2026-01-04,00:29:05
367,PET铜箔,1400.14,-0.58,51.33,62.37,-1104000000.0,46,沃格光电,4.89,35.38,2026-01-04,00:29:05
368,BC电池,1058.41,-0.58,73.02,91.13,-1811000000.0,47,罗博特科,3.66,233.3,2026-01-04,00:29:05
369,禽流感,2315.59,-0.59,7.91,11.85,-394000000.0,25,蔚蓝生物,0.78,14.15,2026-01-04,00:29:05
370,养鸡,1279.09,-0.59,10.11,13.98,-386000000.0,22,京基智农,2.15,17.6,2026-01-04,00:29:05
371,钒电池,1434.39,-0.59,40.2,46.01,-581000000.0,36,唐源电气,5.21,23.0,2026-01-04,00:29:05
372,共封装光学(CPO),3827.49,-0.6,655.13,835.37,-18024000000.0,145,蘅东光,878.16,309.0,2026-01-04,00:29:05
373,化肥,1030.68,-0.6,84.79,114.72,-2993000000.0,71,粤桂股份,4.91,19.46,2026-01-04,00:29:05
374,转基因,1932.7,-0.62,14.69,15.34,-65000000.0,19,托普云农,2.0,98.04,2026-01-04,00:29:05
375,减肥药,1359.2,-0.63,28.13,38.32,-1019000000.0,59,必贝特,3.64,29.06,2026-01-04,00:29:05
376,草甘膦,1512.88,-0.66,4.72,6.35,-164000000.0,17,国光股份,1.22,13.33,2026-01-04,00:29:05
377,石墨电极,1219.48,-0.73,12.69,17.7,-501000000.0,24,龙江交通,1.43,3.54,2026-01-04,00:29:05
378,PEEK材料,2110.36,-0.74,123.42,132.76,-934000000.0,48,恒勃股份,6.29,165.5,2026-01-04,00:29:05
379,宁德时代概念,2191.36,-0.75,613.96,679.29,-6533000000.0,277,精测电子,7.31,91.2,2026-01-04,00:29:05
380,环氧丙烷,1442.56,-0.77,12.99,14.48,-149000000.0,24,渤海化学,1.17,3.46,2026-01-04,00:29:05
381,高压快充,1884.27,-0.77,138.23,189.03,-5080000000.0,119,顺控发展,10.01,15.93,2026-01-04,00:29:05
382,福建自贸区,1721.61,-0.84,316.12,354.97,-3885000000.0,127,乾照光电,15.75,27.56,2026-01-04,00:29:05
383,钠离子电池,1297.66,-0.86,236.16,271.68,-3552000000.0000005,134,科翔股份,5.99,19.29,2026-01-04,00:29:05
384,液冷服务器,1890.64,-0.98,589.96,750.11,-16015000000.0,174,烽火通信,10.01,32.08,2026-01-04,00:29:05
385,有机硅概念,1971.63,-0.99,45.62,49.25,-362000000.0,49,盛帮股份,3.0,52.92,2026-01-04,00:29:05
386,硅能源,1125.54,-1.03,79.83,108.24,-2841000000.0,58,国晟科技,7.84,17.6,2026-01-04,00:29:05
