序号,名称,最新涨跌幅,北向资金今日持股-股票只数,北向资金今日持股-市值,北向资金今日持股-占板块比,北向资金今日持股-占北向资金比,北向资金今日增持估计-股票只数,北向资金今日增持估计-市值,北向资金今日增持估计-市值增幅,北向资金今日增持估计-占板块比,北向资金今日增持估计-占北向资金比,今日增持最大股-市值,今日增持最大股-占总市值比,今日减持最大股-市值,今日减持最大股-占总市值比,报告时间,fetch_date,direction
64,化学原料,-0.75,39,13226365539.47,0.021014280505,0.007508485197,3,-146540587.2636,-1.09319711,-0.000232826244,-8.3189734e-05,龙佰集团,宿迁联盛,华鲁恒升,中毅达,2024-08-16,2026-01-04,northbound
65,教育,1.88,7,153781005.73,0.00393719326,8.7300052e-05,1,-148271902.3625,-48.71673979,-0.003796145902,-8.4172585e-05,博瑞传播,博瑞传播,中公教育,中公教育,2024-08-16,2026-01-04,northbound
66,能源金属,-0.38,11,6917178101.6,0.028407899768,0.003926817932,1,-150227854.8326,-2.11352263,-0.000616965153,-8.5282962e-05,中矿资源,中矿资源,赣锋锂业,融捷股份,2024-08-16,2026-01-04,northbound
67,专用设备,-0.21,96,13685565620.87,0.018422197438,0.007769168829,30,-159170434.6491,-1.14024119,-0.000214259991,-9.0359581e-05,赛腾股份,博杰股份,中兵红箭,智立方,2024-08-16,2026-01-04,northbound
68,工程建设,-0.03,44,27408146610.72,0.021387474498,0.01555935094,10,-162534529.0139,-0.58795642,-0.000126831016,-9.2269347e-05,中国建筑,上海港湾,中国电建,新疆交建,2024-08-16,2026-01-04,northbound
69,互联网服务,1.73,78,13964408105.53,0.01556280353,0.007927465125,25,-165085734.0346,-1.16101346,-0.000183981793,-9.3717642e-05,昆仑万维,每日互动,宝信软件,荣联科技,2024-08-16,2026-01-04,northbound
70,化学制品,-0.23,56,25803614113.02,0.033128009547,0.014648472704,7,-176882776.7551,-0.68029521,-0.000227091224,-0.000100414714,巨化股份,巨化股份,天赐材料,华软科技,2024-08-16,2026-01-04,northbound
71,文化传媒,1.54,65,16061697979.38,0.021736559462,0.009118077158,8,-182711132.7509,-1.11749389,-0.000247265974,-0.000103723418,上海电影,上海电影,万达电影,紫天科技,2024-08-16,2026-01-04,northbound
72,小金属,0.26,28,11492652230.66,0.023031498449,0.006524272211,3,-204751368.0888,-1.77140698,-0.000410325721,-0.000116235455,锡业股份,锡业股份,洛阳钼业,永杉锂业,2024-08-16,2026-01-04,northbound
73,煤炭行业,-0.61,29,29378656334.16,0.01592781107,0.016677991057,3,-207645047.7038,-0.70713614,-0.000112575982,-0.00011787817,兖矿能源,恒源煤电,陕西煤业,宝泰隆,2024-08-16,2026-01-04,northbound
74,通用设备,-0.02,69,5298956403.57,0.010366340553,0.003008168464,10,-224018197.3597,-4.01812636,-0.000438246467,-0.000127173055,创世纪,朗威股份,铂力特,海容冷链,2024-08-16,2026-01-04,northbound
75,钢铁行业,-0.22,39,12986285848.24,0.018590279174,0.00737219418,2,-233715865.8054,-1.75164843,-0.000334571658,-0.000132678332,久立特材,久立特材,宝钢股份,抚顺特钢,2024-08-16,2026-01-04,northbound
76,装修建材,-0.21,23,13207975869.6,0.051995874512,0.007498045551,2,-252931307.6277,-1.84137627,-0.000995715366,-0.00014358676,欧派家居,欧派家居,东方雨虹,东方雨虹,2024-08-16,2026-01-04,northbound
77,家电行业,0.33,44,134760830098.6,0.095924484414,0.076502474912,10,-282838311.8304,-0.21053963,-0.000201327932,-0.00016056469,海信家电,海信家电,美的集团,天银机电,2024-08-16,2026-01-04,northbound
78,光伏设备,-0.65,56,38385141591.9,0.034109419973,0.021790889307,10,-302184191.6436,-0.76918056,-0.000268523889,-0.000171547166,德业股份,沐邦高科,隆基绿能,亿晶光电,2024-08-16,2026-01-04,northbound
79,酿酒行业,-0.59,29,162825566126.25,0.048649195308,0.092434565582,6,-314531184.7643,-0.19294996,-9.3975961e-05,-0.00017855644,贵州茅台,岩石股份,泸州老窖,水井坊,2024-08-16,2026-01-04,northbound
80,半导体,-0.94,113,69710067253.84,0.026433049682,0.039573759432,46,-320841466.599,-0.45631518,-0.000121658446,-0.000182138729,寒武纪,富满微,韦尔股份,航宇微,2024-08-16,2026-01-04,northbound
81,房地产开发,0.8,53,11244131516.46,0.014435942228,0.006383189304,7,-327965168.0038,-2.80677245,-0.000421062864,-0.000186182788,金地集团,金地集团,万科A,金融街,2024-08-16,2026-01-04,northbound
82,软件开发,1.13,96,22635968913.93,0.020477181246,0.012850229868,26,-343847743.9166,-1.48468594,-0.000311055056,-0.000195199179,指南针,同有科技,柏楚电子,高新兴,2024-08-16,2026-01-04,northbound
83,有色金属,0.47,51,23156110175.7,0.027440638842,0.013145509244,4,-438413323.2293,-1.8645915,-0.000519532062,-0.000248883182,银邦股份,银邦股份,中国铝业,鹏欣资源,2024-08-16,2026-01-04,northbound
84,证券,-0.58,50,48495222918.46,0.01863591948,0.027530288823,8,-451868297.7374,-0.91635756,-0.000173645582,-0.000256521447,国盛金控,国盛金控,华泰证券,锦龙股份,2024-08-16,2026-01-04,northbound
85,电池,-1.03,43,89862886644.08,0.067797015454,0.051014328318,3,-484615706.1028,-0.53578345,-0.000365618107,-0.000275111847,欣旺达,欣旺达,宁德时代,鹏辉能源,2024-08-16,2026-01-04,northbound
86,电力行业,-0.25,64,95396394600.22,0.03086246128,0.054155649526,3,-618624932.0639,-0.63955933,-0.000200136369,-0.000351187643,长江电力,中闽能源,中国核电,涪陵电力,2024-08-16,2026-01-04,northbound
