date,etf_code,etf_name,label_next_return,model_score,momentum_10d,momentum_5d,vol_score,model_norm,pred_score,pred_rank,actual_rank
2025-08-25,159915,创业板ETF,-0.77,0.009552717109463208,0.8,0.6857142857142857,0.7714285714285715,0.019861983967524817,0.6458364404522716,8.0,23.0
2025-08-25,159928,消费ETF,0.8,-0.00029754440779552506,0.2571428571428571,0.6285714285714286,0.9428571428571428,0.0,0.3985714285714286,21.0,4.0
2025-08-25,510050,上证50ETF,-0.76,-0.00029754440779552506,0.4,0.5714285714285714,0.6285714285714286,0.0,0.41428571428571426,20.0,22.0
2025-08-25,510300,沪深300ETF,-0.53,-0.00029754440779552506,0.5714285714285714,0.6,0.8285714285714286,0.0,0.52,14.0,15.0
2025-08-25,510500,中证500ETF,0.16,-0.00029754440779552506,0.6,0.45714285714285713,1.0,0.0,0.5071428571428571,15.0,8.0
2025-08-25,512010,医药ETF,-1.15,-0.00029754440779552506,0.3142857142857143,0.37142857142857144,0.11428571428571428,0.0,0.26428571428571435,26.0,28.0
2025-08-25,512100,中证1000ETF,0.0,-0.00029754440779552506,0.4857142857142857,0.2571428571428571,0.5714285714285714,0.0,0.35285714285714287,24.0,9.0
2025-08-25,512170,医疗ETF,-1.27,-0.00029754440779552506,0.22857142857142856,0.22857142857142856,0.17142857142857143,0.0,0.18857142857142858,30.0,30.0
2025-08-25,512200,房地产ETF,-0.64,-0.00029754440779552506,0.42857142857142855,0.5142857142857142,0.14285714285714285,0.0,0.3614285714285714,22.0,17.5
2025-08-25,512400,有色金属ETF,-1.33,0.01614083672301957,0.6857142857142857,0.7428571428571429,0.4,0.03314621260565014,0.576400503319419,11.0,31.0
2025-08-25,512480,半导体ETF,-1.13,0.18283468101712583,0.9142857142857143,0.9428571428571428,0.6571428571428571,0.3692662696268379,0.8153899404440257,3.0,27.0
2025-08-25,512580,环保ETF,-0.19,-0.00029754440779552506,0.34285714285714286,0.3142857142857143,0.5428571428571428,0.0,0.3028571428571429,25.0,11.0
2025-08-25,512660,军工ETF,-0.69,-0.00029754440779552506,0.2,0.11428571428571428,0.34285714285714286,0.0,0.15857142857142859,31.0,19.5
2025-08-25,512670,国防ETF,-1.59,-0.00029754440779552506,0.14285714285714285,0.17142857142857143,0.37142857142857144,0.0,0.15285714285714286,32.0,34.0
2025-08-25,512690,白酒ETF,-0.32,-0.00029754440779552506,0.5428571428571428,0.8,0.9142857142857143,0.0,0.5757142857142857,12.0,12.0
2025-08-25,512720,计算机ETF,0.31,0.009552717109463208,0.7714285714285715,0.7714285714285715,0.5142857142857142,0.019861983967524817,0.6329792975951286,9.0,6.0
2025-08-25,512760,芯片ETF,-0.75,0.18283468101712583,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.3692662696268379,0.8811042261583115,1.0,21.0
2025-08-25,512800,银行ETF,-0.58,-0.00029754440779552506,0.02857142857142857,0.02857142857142857,0.08571428571428572,0.0,0.03,35.0,16.0
2025-08-25,512880,证券ETF,-1.26,0.009552717109463208,0.7142857142857143,0.08571428571428572,0.7142857142857143,0.019861983967524817,0.4215507261665573,19.0,29.0
2025-08-25,512980,传媒ETF,1.52,-0.00029754440779552506,0.6285714285714286,0.6571428571428571,0.45714285714285713,0.0,0.5257142857142857,13.0,3.0
2025-08-25,515000,科技ETF,-1.0,0.13899705460130937,0.8285714285714286,0.8571428571428571,0.7428571428571429,0.28087245068916566,0.7464165818890891,5.0,26.0
2025-08-25,515030,新能源车ETF,-0.42,-0.00029754440779552506,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.24285714285714283,27.0,13.0
2025-08-25,515050,5GETF,0.17,0.01614083672301957,1.0,0.9142857142857143,0.2,0.03314621260565014,0.7492576461765618,4.0,7.0
2025-08-25,515220,煤炭ETF,-0.84,-0.00029754440779552506,0.05714285714285714,0.05714285714285714,0.3142857142857143,0.0,0.07428571428571429,34.0,24.0
2025-08-25,515790,光伏ETF,-0.85,0.009552717109463208,0.6571428571428571,0.5428571428571428,0.22857142857142856,0.019861983967524817,0.4844078690237001,17.0,25.0
2025-08-25,516150,稀土ETF,-2.58,0.048082123057668125,0.8571428571428571,0.8285714285714286,0.6,0.0975523520740633,0.7089185670968237,6.0,35.0
2025-08-25,516510,云计算ETF,-0.69,0.01614083672301957,0.8857142857142857,0.8857142857142857,0.05714285714285714,0.03314621260565014,0.6749719318908475,7.0,19.5
2025-08-25,588000,科创50ETF,-1.47,0.18283468101712583,0.9428571428571428,1.0,0.8857142857142857,0.3692662696268379,0.8682470833011684,2.0,33.0
2025-08-26,159607,储能ETF,-2.1,-0.00029754440779552506,0.4,0.17142857142857143,0.2857142857142857,0.19705414434132143,0.28955812165119826,26.0,25.5
2025-08-26,159611,电力ETF,-1.18,-0.00029754440779552506,0.08571428571428572,0.08571428571428572,0.7142857142857143,0.19705414434132143,0.16527240736548393,32.0,11.0
2025-08-26,159740,人工智能ETF,-1.81,-0.00029754440779552506,0.37142857142857144,0.4,0.45714285714285713,0.19705414434132143,0.36241526450834105,23.0,21.0
2025-08-26,159766,旅游ETF,-2.21,-0.00029754440779552506,0.22857142857142856,0.2857142857142857,0.9142857142857143,0.19705414434132143,0.30955812165119817,25.0,29.0
2025-08-26,159825,农业ETF,-2.08,0.2773696612623099,0.3142857142857143,0.7428571428571429,0.7714285714285715,1.0,0.5914285714285715,13.0,23.5
2025-08-26,159869,游戏ETF,-2.73,0.009552717109463208,0.6857142857142857,0.8,0.17142857142857143,0.22553869887612654,0.5995450905457047,12.0,32.0
2025-08-26,159901,深证100ETF,-1.22,0.009552717109463208,0.7428571428571429,0.7142857142857143,0.8285714285714286,0.22553869887612654,0.6652593762599904,9.0,12.0
2025-08-26,159915,创业板ETF,-0.74,0.009552717109463208,0.7714285714285715,0.5142857142857142,0.7428571428571429,0.22553869887612654,0.6095450905457047,11.0,9.0
2025-08-26,159928,消费ETF,-2.38,-0.00029754440779552506,0.5142857142857142,0.6,0.9428571428571428,0.19705414434132143,0.5352724073654839,16.0,30.0
2025-08-26,510050,上证50ETF,-1.66,-0.00029754440779552506,0.2571428571428571,0.5714285714285714,0.5428571428571428,0.19705414434132143,0.37098669307976956,22.0,17.0
2025-08-26,510300,沪深300ETF,-1.45,-0.00029754440779552506,0.4857142857142857,0.5428571428571428,0.8857142857142857,0.19705414434132143,0.49955812165119823,18.0,15.0
2025-08-26,510500,中证500ETF,-1.35,-0.00029754440779552506,0.5714285714285714,0.4857142857142857,1.0,0.19705414434132143,0.532415264508341,17.0,14.0
2025-08-26,512010,医药ETF,-2.1,-0.00029754440779552506,0.2,0.42857142857142855,0.08571428571428572,0.19705414434132143,0.25670097879405535,28.0,25.5
2025-08-26,512100,中证1000ETF,-1.75,0.009552717109463208,0.45714285714285713,0.22857142857142856,0.5142857142857142,0.22553869887612654,0.35954509054570466,24.0,18.0
2025-08-26,512170,医疗ETF,-2.06,-0.00029754440779552506,0.11428571428571428,0.11428571428571428,0.14285714285714285,0.19705414434132143,0.1295581216511982,33.0,22.0
2025-08-26,512200,房地产ETF,-3.33,-0.00029754440779552506,0.2857142857142857,0.3142857142857143,0.02857142857142857,0.19705414434132143,0.2552724073654839,29.0,35.0
2025-08-26,512400,有色金属ETF,-0.71,0.009552717109463208,0.6571428571428571,0.6857142857142857,0.4857142857142857,0.22553869887612654,0.583830804831419,14.0,8.0
2025-08-26,512480,半导体ETF,0.46,-0.06844096060375277,0.8571428571428571,0.9428571428571428,0.6857142857142857,0.0,0.7371428571428572,6.0,3.0
2025-08-26,512580,环保ETF,-1.6,-0.00029754440779552506,0.42857142857142855,0.37142857142857144,0.37142857142857144,0.19705414434132143,0.3709866930797696,21.0,16.0
2025-08-26,512660,军工ETF,-1.78,-0.00029754440779552506,0.17142857142857143,0.34285714285714286,0.2,0.19705414434132143,0.2295581216511982,30.0,20.0
2025-08-26,512670,国防ETF,-2.08,-0.00029754440779552506,0.14285714285714285,0.14285714285714285,0.34285714285714286,0.19705414434132143,0.17098669307976963,31.0,23.5
2025-08-26,512690,白酒ETF,-2.86,-0.00029754440779552506,0.5428571428571428,0.6285714285714286,0.8,0.19705414434132143,0.5424152645083411,15.0,33.0
2025-08-26,512720,计算机ETF,-1.16,0.10860449370509968,0.8,0.8285714285714286,0.6571428571428571,0.5119722851585069,0.7510815570594904,4.0,10.0
2025-08-26,512760,芯片ETF,0.34,-0.06844096060375277,0.9714285714285714,1.0,0.9714285714285714,0.0,0.8342857142857143,1.0,4.0
2025-08-26,512800,银行ETF,-1.76,-0.00029754440779552506,0.02857142857142857,0.02857142857142857,0.11428571428571428,0.19705414434132143,0.06241526450834107,35.0,19.0
2025-08-26,512880,证券ETF,-2.62,0.009552717109463208,0.6,0.2571428571428571,0.6,0.22553869887612654,0.4409736619742761,20.0,31.0
2025-08-26,512980,传媒ETF,-2.19,0.009552717109463208,0.7142857142857143,0.7714285714285715,0.42857142857142855,0.22553869887612654,0.6295450905457047,10.0,27.0
2025-08-26,515000,科技ETF,-0.56,0.01614083672301957,0.8285714285714286,0.8857142857142857,0.6285714285714286,0.2445899344281335,0.7381170615927914,5.0,7.0
2025-08-26,515030,新能源车ETF,-1.33,-0.00029754440779552506,0.34285714285714286,0.2,0.4,0.19705414434132143,0.28384383593691254,27.0,13.0
2025-08-26,515050,5GETF,0.91,0.01614083672301957,1.0,0.9142857142857143,0.22857142857142856,0.2445899344281335,0.7838313473070772,3.0,2.0
2025-08-26,515220,煤炭ETF,-2.92,-0.00029754440779552506,0.05714285714285714,0.05714285714285714,0.3142857142857143,0.19705414434132143,0.1038438359369125,34.0,34.0
2025-08-26,515790,光伏ETF,-2.2,0.009552717109463208,0.6285714285714286,0.45714285714285713,0.2571428571428571,0.22553869887612654,0.47954509054570466,19.0,28.0
2025-08-26,516150,稀土ETF,1.3,0.048082123057668125,0.9142857142857143,0.6571428571428571,0.5714285714285714,0.33695634631648747,0.7162577376617588,7.0,1.0
2025-08-26,516510,云计算ETF,0.31,0.01614083672301957,0.8857142857142857,0.8571428571428571,0.05714285714285714,0.2445899344281335,0.6981170615927914,8.0,5.0
2025-08-26,588000,科创50ETF,0.07,-0.06844096060375277,0.9428571428571428,0.9714285714285714,0.8571428571428571,0.0,0.8014285714285715,2.0,6.0
2025-08-27,159607,储能ETF,-1.25,-0.00029754440779552506,0.17142857142857143,0.34285714285714286,0.3142857142857143,0.0,0.2114285714285714,29.0,35.0
